,0
0,9261
1,12517
2,13943
3,14804
4,16119
5,16545
6,17881
7,19487
8,22695
9,22768
10,26664
11,44139
12,46478
13,482
14,695
15,1905
16,3765
17,4291
18,4446
19,5213
20,5483
21,5778
22,6172
23,6646
24,6858
25,6945
26,7241
27,7739
28,7974
29,8671
30,8698
31,9155
32,9598
33,9974
34,9994
35,10436
36,12865
37,13134
38,14358
39,16076
40,17245
41,18250
42,18297
43,18762
44,18987
45,19028
46,19296
47,19687
48,19864
49,21289
50,21524
51,21809
52,22030
53,22751
54,24601
55,24611
56,26937
57,27166
58,28638
59,28892
60,29083
61,29621
62,30511
63,30923
64,32471
65,32944
66,34338
67,36404
68,36615
69,36696
70,36699
71,37080
72,37669
73,38312
74,40823
75,42326
76,42912
77,43725
78,45216
79,45380
80,45508
81,45527
82,45607
83,45795
84,47027
85,48801
86,49069
87,49380
88,49397
89,1543
90,1990
91,2228
92,2367
93,2921
94,2993
95,3587
96,3780
97,3809
98,3827
99,5042
100,5122
101,5471
102,6258
103,7272
104,7912
105,8042
106,8134
107,8605
108,8811
109,9047
110,9334
111,10787
112,10796
113,10968
114,11847
115,11887
116,11937
117,12087
118,12248
119,13350
120,13413
121,14255
122,14434
123,14443
124,14969
125,15261
126,15326
127,15348
128,15709
129,16375
130,17020
131,17089
132,17273
133,18219
134,18412
135,18999
136,19053
137,19149
138,19281
139,19394
140,19938
141,20152
142,20543
143,21557
144,22109
145,22272
146,22475
147,23344
148,24629
149,24737
150,25240
151,25554
152,25671
153,27496
154,27924
155,28076
156,28184
157,29514
158,29713
159,30375
160,30530
161,30772
162,31015
163,31440
164,31733
165,32029
166,32127
167,32630
168,32993
169,33575
170,33919
171,34014
172,35469
173,35685
174,35912
175,36524
176,36658
177,36711
178,37298
179,37363
180,37564
181,37675
182,38223
183,38682
184,38924
185,39086
186,40001
187,40532
188,40568
189,41145
190,41438
191,41764
192,42114
193,42308
194,42445
195,42843
196,42878
197,42982
198,44723
199,45011
200,46065
201,46230
202,46553
203,46763
204,47045
205,48097
206,48108
207,48193
208,48488
209,48508
210,49007
211,49429
212,49754
213,382
214,588
215,617
216,632
217,1091
218,1358
219,1411
220,1509
221,2112
222,2244
223,2369
224,2384
225,2737
226,2972
227,3077
228,3808
229,3860
230,3902
231,4174
232,4209
233,4330
234,4873
235,4887
